data_type,id,name,address,lat,lng,cctv_purpose,cctv_count,cctv_pixel,install_ym,lamp_id,police_type,crime_year,crime_kill,crime_rob,crime_theft,crime_violence,lamp_type,dong_code,dong_name,sgg_code,is_gwanak
cctv,202632000000800070,서울특별시 관악구청,"서울특별시 관악구 장군봉근린공원1(메인,청룡동 산151-139)",37.47969,126.9372,기타,1.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800071,서울특별시 관악구청,"서울특별시 관악구 장군봉근린공원2(서브,청룡동 산151-139)",37.47983,126.9363,기타,1.0,200.0,,,,,,,,,,1162064500,서원동,11620,True
cctv,202632000000800072,서울특별시 관악구청,"서울특별시 관악구 장군봉근린공원3(서브,청룡동 산151-139)",37.48048,126.9368,기타,1.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800073,서울특별시 관악구청,서울특별시 관악구 양산어린이공원(양산길 21-2 ),37.47369,126.9326,기타,1.0,200.0,,,,,,,,,,1162066500,서림동,11620,True
cctv,202632000000800074,서울특별시 관악구청,서울특별시 관악구 군아파트어린이공원(승방1길 79),37.47177,126.979,기타,1.0,200.0,,,,,,,,,,1162063000,남현동,11620,True
cctv,202632000000800075,서울특별시 관악구청,서울특별시 관악구 한뼘동래공원 (봉천로33가길 19-10),37.48472,126.9448,기타,1.0,200.0,,,,,,,,,,1162060500,은천동,11620,True
cctv,202632000000800076,서울특별시 관악구청,서울특별시 관악구 상도근린공원 (당곡2길 112),37.49274,126.935,기타,1.0,200.0,,,,,,,,,,1159055000,상도3동,11590,False
cctv,202632000000800077,서울특별시 관악구청,서울특별시 관악구 남강창의어린이공원 (법원단지18길 31),37.47331,126.9236,기타,1.0,200.0,,,,,,,,,,1162077500,난곡동,11620,True
cctv,202632000000800078,서울특별시 관악구청,서울특별시 관악구 일삼별공원 농구코트(난곡동 산 90-2),37.46673,126.9237,기타,1.0,200.0,,,,,,,,,,1162077500,난곡동,11620,True
cctv,202632000000800079,서울특별시 관악구청,서울특별시 관악구 관음사지구 둘레길화장실앞(남현동 산 65),37.46985,126.9778,기타,1.0,200.0,,,,,,,,,,1162063000,남현동,11620,True
cctv,202632000000800080,서울특별시 관악구청,서울특별시 관악구 무장애등산로#1 (대학동 산 56-2),37.45641,126.9461,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800081,서울특별시 관악구청,서울특별시 관악구 선우공원 생태지역 진입부 (미성동 산 117-3),37.46924,126.9126,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800082,서울특별시 관악구청,서울특별시 관악구 신림근린공원 쉼터지역 (미성동 산 197-31),37.48097,126.9164,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800083,서울특별시 관악구청,서울특별시 관악구 신림근린공원 운동시설 (미성동 산 197-31),37.48021,126.9158,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800084,서울특별시 관악구청,서울특별시 관악구 상도근린공원 약수터주변 (보라매동 산 118-6),37.49183,126.9362,기타,1.0,200.0,,,,,,,,,,1162052500,보라매동,11620,True
cctv,202632000000800085,서울특별시 관악구청,서울특별시 관악구 상도근린공원 맷돌체육회 (은천동 산 103-3),37.49202,126.9402,기타,1.0,200.0,,,,,,,,,,1159055000,상도3동,11590,False
cctv,202632000000800086,서울특별시 관악구청,서울특별시 관악구 상도근린공원 봉현배수지 (성현동 산 1718-9),37.49312,126.9453,기타,1.0,200.0,,,,,,,,,,1159056000,상도4동,11590,False
cctv,202632000000800087,서울특별시 관악구청,서울특별시 관악구 유아숲체험장 진입부분(청룡동 산 175-46),37.47472,126.9493,기타,1.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800088,서울특별시 관악구청,서울특별시 관악구 유아숲체험장 숲속쉼터(청룡동 산 175-6),37.47469,126.9482,기타,1.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800089,서울특별시 관악구청,서울특별시 관악구 청룡산공원 휴게테크(청룡동 산 175-27),37.47521,126.9515,기타,3.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800090,서울특별시 관악구청,서울특별시 관악구 청룡산공원 운동공간(청룡산 산 175-27),37.47535,126.951,기타,3.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800091,서울특별시 관악구청,서울특별시 관악구 까치산근린공원 경로당 및 놀이터앞(남부순환로251길 20),37.47646,126.9696,기타,1.0,200.0,,,,,,,,,,1162057500,행운동,11620,True
cctv,202632000000800092,서울특별시 관악구청,서울특별시 관악구 까치산근린공원 화장실앞(남부순환로251길 20),37.47648,126.9701,기타,1.0,200.0,,,,,,,,,,1162057500,행운동,11620,True
cctv,202632000000800093,서울특별시 관악구청,서울특별시 관악구 예촌어린이공원(남현길 41),37.47461,126.9766,기타,1.0,200.0,,,,,,,,,,1162063000,남현동,11620,True
cctv,202632000000800094,서울특별시 관악구청,서울특별시 관악구 상도근린공원 (국회단지길 44),37.49161,126.9412,기타,1.0,200.0,,,,,,,,,,1162060500,은천동,11620,True
cctv,202632000000800095,서울특별시 관악구청,서울특별시 관악구 국회단지공원 (국회단지22길 14),37.49027,126.9429,기타,1.0,200.0,,,,,,,,,,1162060500,은천동,11620,True
cctv,202632000000800096,서울특별시 관악구청,서울특별시 관악구 국회단지공원 (국회단지22길 14),37.49017,126.9433,기타,1.0,200.0,,,,,,,,,,1162060500,은천동,11620,True
cctv,202632000000800097,서울특별시 관악구청,서울특별시 관악구 새숲공원 (조원로16가길 51),37.48232,126.9133,기타,1.0,200.0,,,,,,,,,,1162072500,조원동,11620,True
cctv,202632000000800098,서울특별시 관악구청,서울특별시 관악구 새숲공원 (조원로16가길 51),37.48252,126.9129,기타,1.0,200.0,,,,,,,,,,1162072500,조원동,11620,True
cctv,202632000000800099,서울특별시 관악구청,서울특별시 관악구 약수어린이공원 (미성10길 6),37.47312,126.9124,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800100,서울특별시 관악구청,서울특별시 관악구 미도공원 (난향길 77),37.46302,126.9151,기타,2.0,200.0,,,,,,,,,,1162071500,난향동,11620,True
cctv,202632000000800101,서울특별시 관악구청,서울특별시 관악구 미도공원 (난향길 77),37.46269,126.9153,기타,2.0,200.0,,,,,,,,,,1162071500,난향동,11620,True
cctv,202632000000800102,서울특별시 관악구청,서울특별시 관악구 호박골공원 (남부순환로 168길 22),37.48189,126.924,기타,1.0,200.0,,,,,,,,,,1162065500,신원동,11620,True
cctv,202632000000800103,서울특별시 관악구청,서울특별시 관악구 태양공원 (호암로22길 45),37.46844,126.9365,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800104,서울특별시 관악구청,서울특별시 관악구 낙성대공원 관리사무소 (낙성대로 77),37.47201,126.9596,기타,16.0,200.0,,,,,,,,,,1162058500,낙성대동,11620,True
cctv,202632000000800105,서울특별시 관악구청,"서울특별시 관악구 산불감시(연주대,삼성동)",37.44241,126.9653,기타,1.0,200.0,,,,,,,,,,4129051000,중앙동,41290,False
cctv,202632000000800106,서울특별시 관악구청,"서울특별시 관악구 산불감시(모자봉,대학동)",37.45241,126.9466,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800107,서울특별시 관악구청,"서울특별시 관악구 산불감시(삼성산,삼성동)",37.45032,126.9342,기타,1.0,200.0,,,,,,,,,,1162074500,삼성동,11620,True
